UserID,PolicyID1,PolicyID2,PolicyID3,PolicyID4,PolicyID5,PolicyID6,PolicyID7,PolicyID8,PolicyID9,PolicyID10
1,4.0,,1.1,,2.1,,,,3.3,
2,4.6,3.3,1.3,,1.4,,,4.2,,3.4
3,2.6,,1.1,,1.5,2.5,,4.0,3.1,2.7
4,3.0,,1.6,2.0,3.5,,3.5,2.3,1.9,
5,,4.4,3.2,2.2,4.4,2.7,2.6,,3.6,4.8
6,3.3,3.8,4.4,,,2.0,4.1,1.7,1.4,4.2
7,1.4,2.1,5.0,,,4.8,1.7,,3.8,
8,,2.0,5.0,1.7,,,2.8,,,4.7
9,,,3.2,2.9,1.1,,2.6,,,
10,2.0,3.7,4.4,,1.7,2.3,1.2,2.9,1.7,3.9
11,,2.3,,3.2,,3.0,1.9,4.5,2.4,2.4
12,2.0,2.3,3.3,3.3,1.7,4.4,1.1,1.1,3.7,4.1
13,3.0,1.9,,3.6,,,3.3,2.2,,2.2
14,3.1,,2.5,1.7,4.0,1.3,3.4,4.3,2.0,3.1
15,1.5,,,2.5,4.8,,1.7,5.0,3.4,2.5
16,3.8,,3.8,,2.1,4.9,3.8,,3.1,3.1
17,2.2,3.9,3.2,4.6,1.4,4.1,,4.7,,4.1
18,4.9,,3.0,3.9,,3.6,2.9,3.4,3.4,1.6
19,,2.6,1.7,,2.5,3.4,1.4,4.3,4.6,
20,1.5,2.7,,3.9,,3.9,1.8,4.7,,
21,3.7,2.1,2.9,3.9,2.6,,5.0,,1.9,4.0
22,,,1.4,4.0,,,2.6,,4.1,2.0
23,,,,3.0,2.2,,2.7,3.9,1.4,
24,2.9,,3.5,2.0,4.1,2.4,2.1,4.0,,1.3
25,1.2,2.1,,,4.2,1.5,3.0,2.7,3.0,3.3
26,,3.5,1.8,4.0,,4.4,,2.0,1.8,2.1
27,,4.7,4.8,2.0,4.0,,3.2,1.3,,
28,1.3,,,1.3,1.3,5.0,,4.3,4.8,4.0
29,,1.9,,3.9,4.2,3.7,4.1,3.2,,2.9
30,,,5.0,3.5,3.7,4.5,1.6,1.1,2.2,
31,1.1,,4.5,1.6,,4.8,3.7,1.1,4.5,4.3
32,1.4,1.7,1.7,4.0,1.2,4.6,2.9,1.1,2.1,4.5
33,,3.1,1.2,4.9,2.9,1.5,4.9,,1.9,4.0
34,,3.7,3.0,1.5,3.9,,2.3,4.0,4.5,3.2
35,1.8,3.4,,,4.4,1.1,,2.3,,
36,2.1,,2.4,3.5,1.1,4.4,3.0,1.1,,3.1
37,2.2,3.6,4.3,,2.5,2.1,4.0,2.2,1.4,
38,3.5,1.6,2.1,,,,1.4,1.7,2.1,2.2
39,,,2.0,4.5,,,,3.1,4.4,3.4
40,3.8,1.1,3.3,,1.2,4.7,,3.8,1.9,1.3
41,2.8,1.2,3.3,1.6,1.8,,4.3,3.0,,2.1
42,,,2.6,3.4,,4.4,2.0,1.1,3.1,3.3
43,3.8,,3.2,,,3.4,3.8,,,3.5
44,1.4,4.3,1.2,,3.3,4.2,4.5,,2.4,1.4
45,,3.7,,1.7,,3.7,,5.0,,2.6
46,2.7,,2.3,,1.4,3.3,4.4,,,2.1
47,1.8,3.9,5.0,2.7,,,2.1,4.2,2.3,3.6
48,3.1,3.8,,1.7,4.4,3.3,2.8,,4.7,2.0
49,,4.1,,2.2,,2.0,4.5,,1.9,3.7
50,4.3,4.4,,3.7,1.5,4.3,3.8,,1.7,2.5
51,2.3,,1.0,,2.6,4.6,3.1,4.0,2.3,3.1
52,2.2,3.2,1.0,4.4,1.0,4.8,,,3.5,3.9
53,1.9,4.5,3.1,,4.1,2.0,,2.3,4.7,1.9
54,1.0,,,4.4,,2.1,3.7,1.5,,2.4
55,,1.1,,,,4.7,3.3,2.8,,2.6
56,,1.5,,3.6,,3.2,,1.3,2.4,
57,2.6,,1.3,,,4.2,3.6,4.1,,4.2
58,4.7,1.6,5.0,,,3.0,,1.6,,3.6
59,1.0,4.3,4.6,1.7,3.6,1.8,1.1,2.1,,1.0
60,,3.1,3.6,2.3,,4.3,,,,3.9
61,1.8,3.9,,1.1,3.8,3.2,1.9,1.2,,2.4
62,4.8,1.5,4.6,,4.7,1.5,2.6,3.5,2.6,3.1
63,1.7,3.3,2.7,4.7,,3.9,2.8,4.0,3.2,1.3
64,3.5,2.3,,2.2,4.3,,4.7,1.3,,4.8
65,,2.3,1.1,4.6,2.5,1.4,3.9,,,
66,,2.3,,,4.0,4.2,1.3,,2.9,
67,4.3,,2.0,,,,,,4.7,4.0
68,,,,,3.9,,,4.7,2.2,
69,,1.8,1.0,1.1,,1.6,2.9,2.7,1.7,4.0
70,,4.0,1.1,3.7,2.9,2.4,1.6,3.5,,2.0
71,2.4,4.2,1.5,3.6,4.4,3.5,,1.6,4.0,1.5
72,2.0,4.7,,,2.5,,,,2.1,
73,,3.8,4.9,,,,1.6,4.8,,1.4
74,,4.3,4.0,,,4.4,,4.7,2.0,4.0
75,1.4,2.0,4.0,3.1,4.2,,1.5,2.4,2.5,2.8
76,2.7,4.9,4.1,1.6,3.5,2.3,1.9,,3.0,
77,,3.1,5.0,3.9,2.9,3.2,1.1,2.5,4.9,1.5
78,5.0,4.1,4.7,4.9,4.8,,1.7,,3.8,1.4
79,,4.4,,4.2,,4.6,5.0,3.6,4.1,4.0
80,,4.7,1.7,1.6,2.1,,1.3,,4.6,
81,4.0,4.2,,3.3,4.1,,4.6,1.1,1.9,2.0
82,3.6,3.4,3.4,5.0,1.9,,3.8,4.4,3.1,4.6
83,,1.4,,3.2,3.1,1.4,,4.2,3.8,1.3
84,,2.7,3.8,,3.6,,,4.0,4.0,1.2
85,,,2.9,,,,5.0,3.8,2.8,2.0
86,,,,2.0,2.4,2.2,4.6,2.8,4.6,3.4
87,,2.1,4.7,2.5,4.7,1.2,1.3,2.4,4.8,4.2
88,4.0,4.2,2.7,3.7,1.0,3.5,3.6,,3.0,1.6
89,2.9,,,3.2,,3.2,,1.4,,3.6
90,3.7,4.5,,3.2,4.8,3.4,,,2.9,
91,1.5,,,4.8,,1.5,,1.3,3.6,4.9
92,4.4,2.5,3.1,,1.4,,3.4,2.1,4.6,4.0
93,3.4,3.5,2.4,3.8,4.4,1.5,1.9,2.3,3.8,1.2
94,1.5,,,,5.0,1.1,2.1,4.4,5.0,2.8
95,4.1,2.9,2.1,,1.1,,3.4,,1.1,1.6
96,1.6,,,1.8,4.7,,,4.4,1.9,1.5
97,,2.9,,3.7,3.2,1.3,2.9,2.9,,
98,,,1.3,,,,3.4,1.5,1.7,4.0
99,4.4,3.9,2.0,1.6,3.5,,,4.8,,
100,,,3.2,3.1,,1.3,2.1,4.7,4.7,
101,2.0,2.8,1.9,4.4,4.6,1.9,1.9,,,1.2
102,,4.1,3.4,3.4,5.0,1.4,,4.9,3.3,
103,1.1,3.4,4.0,,2.7,3.6,,3.1,3.3,5.0
104,5.0,2.4,2.9,4.9,1.7,,3.2,1.5,,4.8
105,4.0,,,2.6,1.8,4.3,3.3,2.2,,
106,4.8,3.1,3.7,,,2.5,2.9,,3.0,3.2
107,,,,,2.8,,,4.6,2.0,2.2
108,1.6,3.3,1.5,4.2,,3.9,,2.3,4.0,1.7
109,,4.4,2.4,,2.4,3.7,4.3,,1.9,1.7
110,4.4,3.9,2.5,3.3,2.9,,,3.0,3.2,3.9
111,4.5,3.9,3.3,3.3,4.2,1.3,,2.8,2.7,3.4
112,3.0,,3.3,,2.9,2.9,3.6,1.4,4.9,1.5
113,1.6,1.9,3.2,,4.0,1.4,3.8,4.9,,
114,,,4.8,2.6,4.2,2.2,3.7,,1.5,3.2
115,4.7,,,4.5,2.2,1.4,2.1,4.1,1.7,
116,4.3,,3.4,2.7,2.4,,2.2,2.1,3.0,1.9
117,4.8,4.8,2.9,,3.1,4.2,3.8,3.2,1.6,3.6
118,3.3,1.5,1.1,3.3,3.0,3.4,3.2,2.9,,3.1
119,4.4,4.5,3.2,2.7,,3.1,,1.6,,2.0
120,,,4.6,2.1,4.0,1.0,3.8,2.0,4.0,
121,4.3,3.7,4.2,1.0,,,,,4.7,3.5
122,,,4.4,,3.4,,2.6,4.7,1.5,
123,2.6,2.8,4.4,,3.0,3.6,2.7,4.3,3.4,
